Cód. Atividade|CNAE|Descrição da Atividade/Equipamento|TFLF 2020|TFLF 2021|TFLF 2022|TFLF 2023|TFLF 2024|TFLF 2025
173|C1012101|ABATE DE AVES|449,5|460,38|504,9448|547,4611|572,6991|596,9815
174|C1012102|ABATE DE PEQUENOS ANIMAIS|449,5|460,38|504,9448|547,4611|572,6991|596,9815
268|C1531902|ACABAMENTO DE CALÇADOS DE COURO SOB CONT|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
920|H5231101|ADMINISTRAÇÃO DA INFRA-ESTRUTURA PORTUÁR|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
1172|P8550301|ADMINISTRAÇÃO DE CAIXAS ESCOLARES|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
1045|K6613400|ADMINISTRAÇÃO DE CARTÕES DE CRÉDITO|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1021|K6493000|ADMINISTRAÇÃO DE CONSÓRCIOS PARA AQUISIÇ|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1039|K6611804|ADMINISTRAÇÃO DE MERCADOS DE BALCÃO ORGA|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
640|F4399101|ADMINISTRAÇÃO DE OBRAS|674,25|690,57|757,4172|821,1917|859,0486|895,4723
1154|O8411600|ADMINISTRAÇÃO PÚBLICA EM GERAL|224,75|230,19|252,4724|273,7306|286,3495|298,4908
928|H5250803|AGENCIAMENTO DE CARGAS, EXCETO PARA O TR|449,5|460,38|504,9448|547,4611|572,6991|596,9815
1080|M7312200|AGENCIAMENTO DE ESPAÇOS PARA PUBLICIDADE|449,5|460,38|504,9448|547,4611|572,6991|596,9815
1098|M7490105|AGENCIAMENTO DE PROFISSIONAIS PARA ATIVI|449,5|460,38|504,9448|547,4611|572,6991|596,9815
1005|K6434400|AGÊNCIAS DE FOMENTO|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
992|J6391700|AGÊNCIAS DE NOTÍCIAS|809,11|828,69|908,9072|985,4372|1030,8658|1074,5745
1079|M7311400|AGÊNCIAS DE PUBLICIDADE|449,5|460,38|504,9448|547,4611|572,6991|596,9815
1124|N7911200|AGÊNCIAS DE VIAGENS|584,36|598,5|656,4348|711,7066|744,5163|776,0838
1296|S9609202|AGÊNCIAS MATRIMONIAIS|449,5|460,38|504,9448|547,4611|572,6991|596,9815
1064|M6911703|AGENTE DE PROPRIEDADE INDUSTRIAL|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1044|K6612605|AGENTES DE INVESTIMENTOS EM APLICAÇÕES F|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1235|Q8730102|ALBERGUES ASSISTENCIAIS|449,5|460,38|504,9448|547,4611|572,6991|596,9815
938|I5590601|ALBERGUES, EXCETO ASSISTENCIAIS|134,86|138,12|151,49|164,2455|171,8172|179,1022
1297|S9609203|ALOJAMENTO, HIGIENE E EMBELEZAMENTO DE A|269,71|276,24|302,98|328,491|343,6344|358,2045
1114|N7732202|ALUGUEL DE ANDAIMES|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
1108|N7729201|ALUGUEL DE APARELHOS DE JOGOS ELETRÔNICO|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
1117|N7739002|ALUGUEL DE EQUIPAMENTOS CIENTÍFICOS, MÉD|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
1105|N7721700|ALUGUEL DE EQUIPAMENTOS RECREATIVOS E ES|179,79|184,14|201,9648|218,9702|229,0647|238,7771
1106|N7722500|ALUGUEL DE FITAS DE VÍDEO, DVDS E SIMILA|67,42|69,05|75,734|82,1108|85,8962|89,5382
1058|L6810202|ALUGUEL DE IMÓVEIS PRÓPRIOS|561,88|575,48|631,1865|684,3324|715,8801|746,2334
1112|N7731400|ALUGUEL DE MÁQUINAS E EQUIPAMENTOS AGRÍC|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
1115|N7733100|ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA|449,5|460,38|504,9448|547,4611|572,6991|596,9815
1116|N7739001|ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
1113|N7732201|ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
1110|N7729203|ALUGUEL DE MATERIAL MÉDICO|179,79|184,14|201,9648|218,9702|229,0647|238,7771
1109|N7729202|ALUGUEL DE MÓVEIS, UTENSÍLIOS E APARELHO|179,79|184,14|201,9648|218,9702|229,0647|238,7771
1107|N7723300|ALUGUEL DE OBJETOS DO VESTUÁRIO, JÓIAS E|179,79|184,14|201,9648|218,9702|229,0647|238,7771
1119|N7739099|ALUGUEL DE OUTRAS MÁQUINAS E EQUIPAMENTO|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
1111|N7729299|ALUGUEL DE OUTROS OBJETOS PESSOAIS E DOM|179,79|184,14|201,9648|218,9702|229,0647|238,7771
1118|N7739003|ALUGUEL DE PALCOS, COBERTURAS E OUTRAS E|337,13|345,29|378,7141|410,6018|429,5305|447,7426
246|C1340502|ALVEJAMENTO, TINGIMENTO E TORÇÃO EM FIOS|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
99999|Z9999999|ANTENAS DE TELECOMUNICAÇÕES/ ERB|4842,44|4959,63|5439,7222|5897,7468|6169,6329|6431,2254
372|C2391502|APARELHAMENTO DE PEDRAS PARA CONSTRUÇÃO,|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
373|C2391503|APARELHAMENTO DE PLACAS E EXECUÇÃO DE TR|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
936|I5510802|APART-HOTÉIS|674,25|690,57|757,4172|821,1917|859,0486|895,4723
68|A0159801|APICULTURA|134,86|138,12|151,49|164,2455|171,8172|179,1022
637|F4330405|APLICAÇÃO DE REVESTIMENTOS E DE RESINAS|674,25|690,57|757,4172|821,1917|859,0486|895,4723
910|H5211701|ARMAZÉNS GERAIS - EMISSÃO DE WARRANT|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
